drugName,avg_sentiment,avg_rating,review_count,avg_usefulness,demand,demand_scaled,effectiveness_score,sentiment_per_review,engagement_score,popularity,top_side_effects,sentiment_rating_proxy,sentiment_usefulness,rating_variation_proxy,insights,actions
Acetaminophen / butalbital / caffeine,0.1189975308641975,9.08641975308642,81,25.320987654320987,470.54172839506174,0.0390970165714348,9.08641975308642,0.0014511894007828,2051.0,high,"[('headache', 61), ('pain', 22), ('nausea', 4)]",9.638799999999996,3.0131350099070255,3.077392120075047,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']"
Acetaminophen / butalbital / caffeine / codeine,-0.2473,9.142857142857142,7,9.0,68.27,0.010912407207717,9.142857142857142,-0.0309125,63.0,medium,"[('headache', 5), ('pain', 4), ('vomiting', 1)]",-1.7311,-2.2257,0.7,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']"
Acetaminophen / caffeine,-0.7723,9.0,1,5.0,-44.23,0.0030302511186758,9.0,-0.38615,5.0,low,"[('headache', 1)]",-0.7723,-3.8615,0.1666666666666666,['Negative patient sentiment detected'],['Investigate patient complaints']
Acetaminophen / caffeine / dihydrocodeine,-0.6368428571428572,8.428571428571429,7,5.142857142857143,26.60142857142857,0.0079929566832071,8.428571428571429,-0.0796053571428571,36.0,medium,"[('pain', 6), ('constipation', 1)]",-4.4579,-3.2751918367346944,1.1395348837209305,['Negative patient sentiment detected'],['Investigate patient complaints']
Acetaminophen / caffeine / isometheptene mucate,-0.25762,8.6,5,7.4,35.038,0.008584053330819,8.6,-0.0429366666666666,37.0,medium,"[('headache', 4), ('pain', 2)]",-1.2881,-1.906388,0.5952380952380952,['Negative patient sentiment detected'],['Investigate patient complaints']
Acetaminophen / caffeine / magnesium salicylate,0.8988,10.0,1,5.0,148.88,0.0165602347840513,10.0,0.4494,5.0,low,"[('pain', 1)]",0.8988,4.494,0.1666666666666666,[],[]
Acetaminophen / chlorpheniramine,0.8166,9.0,1,7.0,121.66,0.0146531033285517,9.0,0.4083,7.0,low,[],0.8166,5.7162,0.125,[],[]
Acetaminophen / chlorpheniramine / phenylephrine,-0.7902,2.0,2,2.0,-62.02,0.0017838195024621,2.0,-0.2634,4.0,low,"[('headache', 1), ('anxiety', 1)]",-1.5804,-1.5804,0.6666666666666666,['Negative patient sentiment detected'],['Investigate patient complaints']
Acetaminophen / codeine,-0.4613685185185185,5.314814814814815,54,19.64814814814815,270.15944444444443,0.0250575104418585,5.314814814814815,-0.0083885185185185,1061.0,high,"[('pain', 48), ('headache', 4), ('nausea', 3)]",-24.9139,-9.065037002743484,2.6152466367713005,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']"
Acetaminophen / dextromethorphan / phenylephrine,-0.0754,10.0,1,1.0,8.46,0.0067219027127343,10.0,-0.0377,1.0,low,[],-0.0754,-0.0754,0.5,['Negative patient sentiment detected'],['Investigate patient complaints']
Acetaminophen / dichloralphenazone / isometheptene mucate,0.0050413793103448,8.931034482758621,29,8.068965517241379,166.64206896551724,0.017804709451167,8.931034482758621,0.0001680459770114,234.0,high,"[('headache', 14), ('pain', 6), ('nausea', 6)]",0.1461999999999992,0.0406787158145063,3.197718631178707,['Multiple side effects reported'],['Review drug safety profile']
Acetaminophen / diphenhydramine,0.0395454545454545,5.363636363636363,11,22.818181818181817,115.5909090909091,0.0142278809119825,5.363636363636363,0.0032954545454545,250.99999999999997,medium,"[('pain', 4), ('insomnia', 2), ('dry mouth', 1)]",0.4349999999999995,0.9023553719008254,0.4618320610687023,['Multiple side effects reported'],['Review drug safety profile']
Acetaminophen / diphenhydramine / phenylephrine,-0.8176,1.0,1,3.0,-58.760000000000005,0.0020122268700201,1.0,-0.4088,3.0,low,[],-0.8176,-2.4528,0.25,['Negative patient sentiment detected'],['Investigate patient complaints']
Acetaminophen / hydrocodone,-0.3086399280575539,8.10431654676259,278,30.41726618705036,1423.9705395683454,0.1058976806554951,8.10431654676259,-0.0011062363012815,8456.0,high,"[('pain', 234), ('nausea', 22), ('headache', 17)]",-85.80189999999999,-9.38798284767869,8.848637508587132,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']"
Acetaminophen / oxycodone,-0.2683838709677419,8.543010752688172,186,32.494623655913976,985.1508602150536,0.0751523899212227,8.543010752688172,-0.0014352078661376,6044.0,high,"[('pain', 168), ('nausea', 14), ('constipation', 9)]",-49.9194,-8.72103288241415,5.553130016051365,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']"
Acetaminophen / pamabrom,0.24228,9.8,5,10.4,91.028,0.0125069148368227,9.8,0.04038,52.0,medium,"[('pain', 5)]",1.2114,2.519712,0.4385964912280701,[],[]
Acetaminophen / pentazocine,-0.65535,8.5,2,15.5,4.465000000000003,0.0064419985920612,8.5,-0.21845,31.0,low,"[('pain', 2)]",-1.3107,-10.157925,0.1212121212121212,['Negative patient sentiment detected'],['Investigate patient complaints']
Acetaminophen / phenyltoloxamine,0.4906333333333333,9.0,3,9.333333333333334,88.73,0.0123459086617772,9.0,0.1226583333333333,28.0,medium,"[('pain', 2), ('headache', 1), ('dry mouth', 1)]",1.4719,4.579244444444445,0.2903225806451612,['Multiple side effects reported'],['Review drug safety profile']
Acetaminophen / propoxyphene,-0.3887181818181818,7.227272727272728,22,20.181818181818183,145.4918181818182,0.0163228465356161,7.227272727272728,-0.0169007905138339,444.00000000000006,high,"[('pain', 20), ('headache', 3), ('constipation', 1)]",-8.5518,-7.845039669421488,1.03862660944206,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']"
Acetaminophen / pseudoephedrine,0.4462333333333333,10.0,3,7.0,111.62333333333332,0.0139498982327264,10.0,0.1115583333333333,21.0,medium,"[('headache', 2), ('dry mouth', 1)]",1.3387,3.1236333333333333,0.375,[],[]
Acetaminophen / tramadol,-0.2373588235294117,8.0,17,51.05882352941177,204.38176470588235,0.0204488887629757,8.0,-0.0131866013071895,868.0,high,"[('pain', 16), ('fever', 1), ('sweating', 1)]",-4.035099999999999,-12.119262283737022,0.3265536723163841,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']"
Acetazolamide,-0.1637604166666666,6.9375,48,16.4375,278.49895833333335,0.0256418068878936,6.9375,-0.0033420493197278,789.0,high,"[('headache', 19), ('pain', 9), ('nausea', 4)]",-7.8604999999999965,-2.6918118489583325,2.752688172043011,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']"
Acetohydroxamic acid,-0.7346,9.0,1,4.0,-24.460000000000008,0.0044154086820566,9.0,-0.3673,4.0,low,[],-0.7346,-2.9384,0.2,['Negative patient sentiment detected'],['Investigate patient complaints']
Acetylcysteine,0.1361428571428571,9.571428571428571,7,27.857142857142858,122.32857142857142,0.0146999458561666,9.571428571428571,0.0170178571428571,195.0,medium,"[('headache', 1)]",0.9529999999999996,3.792551020408162,0.2425742574257425,[],[]
Acidophilus,0.1099375,9.0,8,55.625,210.24375,0.0208596006125748,9.0,0.0122152777777777,445.0,medium,"[('pain', 2), ('constipation', 1)]",0.8795,6.1152734375,0.141280353200883,[],[]
Aciphex,-0.10546875,9.4375,16,24.4375,133.328125,0.0154706142842534,9.4375,-0.006204044117647,391.0,high,"[('pain', 5), ('headache', 2), ('diarrhea', 1)]",-1.6875,-2.577392578125,0.628992628992629,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']"
Acitretin,0.0179833333333333,7.5,6,45.0,156.79833333333335,0.017115021800037,7.5,0.0025690476190476,270.0,medium,"[('weakness', 1)]",0.1078999999999998,0.8092499999999985,0.1304347826086956,[],[]
Aclidinium,0.7099666666666667,9.333333333333334,3,31.0,176.99666666666667,0.0185301899428976,9.333333333333334,0.1774916666666667,93.0,medium,[],2.1299,22.00896666666667,0.09375,[],[]
Acrivastine / pseudoephedrine,-0.5574,10.0,1,11.0,-12.740000000000002,0.0052365541875105,10.0,-0.2787,11.0,low,[],-0.5574,-6.1314,0.0833333333333333,['Negative patient sentiment detected'],['Investigate patient complaints']
Actemra,0.2542399999999999,7.8,10,22.5,157.42399999999998,0.0171588582651603,7.8,0.0231127272727272,225.0,medium,"[('pain', 6), ('fatigue', 2), ('headache', 1)]",2.542399999999999,5.720399999999998,0.425531914893617,['Multiple side effects reported'],['Review drug safety profile']
Acthar,0.26765,7.5,2,7.5,99.765,0.0131190605946001,7.5,0.0892166666666666,15.0,low,[],0.5353,2.007375,0.2352941176470588,[],[]
Acticlate,0.1055999999999999,8.0,2,9.0,66.55999999999999,0.0107925984351635,8.0,0.0351999999999999,18.0,low,"[('headache', 1), ('pain', 1)]",0.2111999999999998,0.9503999999999992,0.2,[],[]
Actifed,0.3258,8.666666666666666,3,7.0,61.58,0.0104436816589553,8.666666666666666,0.08145,21.0,medium,[],0.9774,2.2805999999999997,0.375,['Underrated drug opportunity'],['Increase marketing efforts']
Actiq,0.0129428571428571,8.714285714285714,7,40.714285714285715,147.72285714285715,0.016479161178564,8.714285714285714,0.0016178571428571,285.0,medium,"[('pain', 6), ('headache', 2)]",0.0905999999999997,0.5269591836734676,0.1678082191780822,[],[]
Activella,0.3269,8.0,1,27.0,103.69,0.0133940602625955,8.0,0.16345,27.0,low,"[('headache', 1), ('anxiety', 1)]",0.3269,8.8263,0.0357142857142857,[],[]
ActoPlus Met,-0.4476,5.0,2,12.5,15.240000000000002,0.0071969339863671,5.0,-0.1492,25.0,low,[],-0.8952,-5.595,0.1481481481481481,['Negative patient sentiment detected'],['Investigate patient complaints']
Actonel,-0.2410166666666666,4.0,6,73.66666666666667,160.23166666666668,0.0173555735266062,4.0,-0.0344309523809523,442.0,medium,"[('diarrhea', 2), ('pain', 2), ('vomiting', 1)]",-1.4460999999999995,-17.754894444444442,0.0803571428571428,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']"
Actonel with Calcium,-0.9724,3.0,1,8.0,-48.24000000000001,0.0027492960438575,3.0,-0.4862,8.0,low,"[('pain', 1)]",-0.9724,-7.7792,0.1111111111111111,['Negative patient sentiment detected'],['Investigate patient complaints']
Actos,0.04185,4.583333333333333,12,43.75,169.685,0.0180179081834513,4.583333333333333,0.0032192307692307,525.0,medium,"[('pain', 3), ('weight gain', 3), ('headache', 2)]",0.5022,1.8309375,0.2681564245810056,['Multiple side effects reported'],['Review drug safety profile']
Acyclovir,-0.1028328125,8.359375,64,25.9375,404.59171875,0.0344763208372468,8.359375,-0.0015820432692307,1660.0,high,"[('pain', 17), ('fever', 3), ('nausea', 3)]",-6.5813,-2.6672260742187497,2.3758700696055683,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']"
Acyclovir / hydrocortisone,0.8929,10.0,1,1.0,124.29,0.0148373706220111,10.0,0.44645,1.0,low,[],0.8929,0.8929,0.5,[],[]
Aczone,0.3185186046511628,7.523255813953488,86,15.546511627906977,524.9448837209302,0.0429086980115667,7.523255813953488,0.0036611333867949,1337.0,high,"[('pain', 6)]",27.3926,4.951853190914007,5.1974701335207305,['High market demand'],['Increase production and distribution']
Adalimumab,0.0282957746478873,7.262910798122066,213,34.48356807511737,1161.7967136150237,0.0875288360454933,7.262910798122066,0.0001322232460181,7344.999999999999,high,"[('pain', 103), ('headache', 12), ('fever', 10)]",6.026999999999995,0.9757392713086018,6.002778512834084,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']"
Adapalene,0.1284684210526316,7.481203007518797,133,19.804511278195488,761.4558646616541,0.0594795110653181,7.481203007518797,0.0009587195600942,2634.0,high,"[('pain', 14), ('rash', 7), ('fever', 1)]",17.0863,2.544254293628809,6.392844235634262,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']"
Adapalene / benzoyl peroxide,0.268963321799308,7.581314878892734,289,10.97923875432526,1523.854809688581,0.1128959331704076,7.581314878892734,0.0009274597303424,3173.0000000000005,high,"[('pain', 37), ('rash', 5), ('weight gain', 1)]",77.7304,2.9530125261910185,24.12507221259387,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']"
Adcirca,-0.0147,6.0,2,6.0,22.53,0.007707697700937,6.0,-0.0049,12.0,low,"[('headache', 1), ('dizziness', 1)]",-0.0294,-0.0882,0.2857142857142857,['Negative patient sentiment detected'],['Investigate patient complaints']
Adderall,0.25805,8.446153846153846,130,49.53076923076923,796.8665384615384,0.061960510692952,8.446153846153846,0.0019698473282442,6439.0,high,"[('anxiety', 12), ('dry mouth', 6), ('pain', 5)]",33.5465,12.781415,2.572689907139595,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']"
Adderall XR,0.1190461538461538,8.102564102564102,78,32.0,509.9046153846154,0.0418549225213632,8.102564102564102,0.0015069133398247,2496.0,high,"[('anxiety', 14), ('insomnia', 8), ('headache', 7)]",9.285599999999995,3.8094769230769217,2.363636363636364,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']"
Addyi,-0.54105,1.0,2,8.5,-18.105000000000004,0.0048606629215753,1.0,-0.18035,17.0,low,[],-1.0821,-4.598925,0.2105263157894736,['Negative patient sentiment detected'],['Investigate patient complaints']
Adempas,-0.5482,1.0,1,0.0,-17.82,0.0048806310503342,1.0,-0.2741,0.0,low,[],-0.5482,-0.0,1.0,['Negative patient sentiment detected'],['Investigate patient complaints']
Adenosine,0.04435,7.25,4,3.75,76.935,0.0115195083855973,7.25,0.00887,15.0,medium,"[('headache', 1), ('pain', 1)]",0.1774,0.1663125,0.8421052631578947,[],[]
Adipex-P,0.2665694323144105,9.139737991266376,229,58.22707423580786,1337.111091703057,0.0998119942032094,9.139737991266376,0.0011589975318017,13334.0,high,"[('dry mouth', 71), ('weight loss', 29), ('headache', 19)]",61.0444,15.521558124368338,3.8664749686647495,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']"
Adoxa,0.2055333333333333,8.666666666666666,3,21.666666666666668,93.88666666666666,0.0127072033423623,8.666666666666666,0.0513833333333333,65.0,medium,[],0.6165999999999998,4.453222222222221,0.1323529411764706,[],[]
Advair Diskus,-0.1033575,8.125,40,24.25,239.16425,0.0228858752363358,8.125,-0.0025209146341463,970.0,high,"[('headache', 4), ('pain', 2), ('nausea', 1)]",-4.1343000000000005,-2.506419375,1.5841584158415842,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']"
Advair HFA,0.2429,9.0,2,5.5,62.29,0.0104934268218284,9.0,0.0809666666666666,11.0,low,[],0.4858,1.33595,0.3076923076923077,[],[]
Advil,-0.1599,9.8,5,12.0,66.01,0.0107540634498393,9.8,-0.0266499999999999,60.0,medium,"[('pain', 4), ('headache', 2)]",-0.7994999999999999,-1.9188,0.3846153846153846,['Negative patient sentiment detected'],['Investigate patient complaints']
Advil Cold and Sinus,0.1025142857142857,8.0,7,9.0,91.25142857142856,0.0125225690490427,8.0,0.0128142857142857,63.0,medium,"[('headache', 3), ('pain', 3)]",0.7175999999999999,0.9226285714285712,0.7,[],[]
Advil Cold and Sinus Liqui-Gels,0.9165,10.0,1,0.0,123.65,0.0147925299118156,10.0,0.45825,0.0,low,[],0.9165,0.0,1.0,[],[]
Advil Liqui-Gels,-0.201725,7.25,4,25.75,57.3275,0.0101457361587896,7.25,-0.040345,103.0,medium,"[('pain', 3), ('headache', 1)]",-0.8069,-5.19441875,0.1495327102803738,['Negative patient sentiment detected'],['Investigate patient complaints']
Adzenys XR-ODT,0.5215133333333334,6.0,15,8.533333333333333,179.21800000000002,0.0186858245745342,6.0,0.0325945833333333,128.0,high,"[('insomnia', 2), ('anxiety', 2), ('headache', 2)]",7.822700000000001,4.4502471111111115,1.5734265734265735,['Multiple side effects reported'],['Review drug safety profile']
Aerobid-M,-0.1752,10.0,1,1.0,18.48,0.0074239400817315,10.0,-0.0876,1.0,low,"[('pain', 1)]",-0.1752,-0.1752,0.5,['Negative patient sentiment detected'],['Investigate patient complaints']
Afatinib,0.8174,10.0,1,1.0,97.74,0.0129771817849973,10.0,0.4087,1.0,low,"[('rash', 1)]",0.8174,0.8174,0.5,[],[]
Afinitor,-0.20765,5.333333333333333,6,19.5,80.235,0.0117507182975425,5.333333333333333,-0.0296642857142857,117.0,medium,"[('rash', 2), ('nausea', 1), ('vomiting', 1)]",-1.2459,-4.049175,0.2926829268292683,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']"
Aflibercept,0.575275,7.0,4,9.5,138.5275,0.0158349012648353,7.0,0.1150549999999999,38.0,medium,[],2.3011,5.4651125,0.3809523809523809,[],[]
Afrezza,0.30876,8.866666666666667,15,32.4,209.676,0.0208198219981788,8.866666666666667,0.0192975,486.0,high,[],4.631399999999999,10.003823999999998,0.4491017964071856,[],[]
Afrin,-0.1507066666666666,4.066666666666666,15,7.133333333333334,117.196,0.0143403393749385,4.066666666666666,-0.0094191666666666,107.0,high,[],-2.260599999999999,-1.0750408888888885,1.8442622950819672,['Negative patient sentiment detected'],['Investigate patient complaints']
Afrin NoDrip Sinus,-0.4317,5.0,1,8.0,25.830000000000005,0.0079389076128822,5.0,-0.21585,8.0,low,"[('anxiety', 1)]",-0.4317,-3.4536,0.1111111111111111,['Negative patient sentiment detected'],['Investigate patient complaints']
Afrin Original,-0.5984,1.0,1,0.0,-5.840000000000003,0.005719993094305,1.0,-0.2992,0.0,low,[],-0.5984,-0.0,1.0,['Negative patient sentiment detected'],['Investigate patient complaints']
Aftera,-0.0235204545454545,7.227272727272728,44,6.795454545454546,233.23886363636365,0.0224707212789487,7.227272727272728,-0.0005226767676767,299.0,high,"[('nausea', 4), ('fatigue', 3), ('headache', 3)]",-1.034899999999998,-0.1598321797520658,5.644314868804664,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']"
Aggrenox,-0.32875,6.5,10,31.6,112.325,0.0139990595321855,6.5,-0.0298863636363636,316.0,medium,"[('headache', 6), ('nausea', 2), ('pain', 2)]",-3.2874999999999996,-10.3885,0.3067484662576687,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']"
Alamast,-0.13015,5.5,2,0.5,30.985,0.0083000855207845,5.5,-0.0433833333333333,1.0,low,[],-0.2603,-0.065075,1.3333333333333333,['Negative patient sentiment detected'],['Investigate patient complaints']
Alavert,-0.4019,10.0,1,26.0,22.81,0.0077273155116475,10.0,-0.20095,26.0,low,[],-0.4019,-10.4494,0.037037037037037,['Negative patient sentiment detected'],['Investigate patient complaints']
Albendazole,0.2607,8.666666666666666,3,17.333333333333332,103.73666666666666,0.0133973298977139,8.666666666666666,0.065175,52.0,medium,"[('headache', 1), ('diarrhea', 1), ('rash', 1)]",0.7821,4.5188,0.1636363636363636,['Multiple side effects reported'],['Review drug safety profile']
Albiglutide,-0.1834666666666666,2.5,6,4.833333333333333,59.32000000000001,0.0102853379010777,2.5,-0.0262095238095238,29.0,medium,"[('headache', 2), ('pain', 2), ('diarrhea', 1)]",-1.1007999999999996,-0.8867555555555552,1.0285714285714287,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']"
Albuterol,0.1023261904761904,4.285714285714286,42,13.214285714285714,257.6611904761904,0.0241818376541406,4.285714285714286,0.0023796788482834,555.0,high,"[('pain', 3), ('dry mouth', 2), ('anxiety', 1)]",4.297699999999997,1.3521675170068015,2.954773869346734,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']"
Albuterol / ipratropium,0.3895090909090909,7.545454545454546,11,18.636363636363637,151.22363636363636,0.0167244384074658,7.545454545454546,0.0324590909090909,205.0,medium,[],4.2846,7.25903305785124,0.5601851851851852,[],[]
Alcaftadine,0.4130636363636364,7.272727272727272,11,13.909090909090908,154.12454545454543,0.0169276865697295,7.272727272727272,0.0344219696969697,153.0,medium,[],4.5437,5.7453396694214875,0.7378048780487805,[],[]
Alclometasone,0.9403,8.0,1,13.0,169.03,0.0179720165191106,8.0,0.47015,13.0,low,[],0.9403,12.2239,0.0714285714285714,[],[]
Aldactone,0.1633,6.5,8,107.375,302.08,0.0272939797870833,6.5,0.0181444444444444,859.0,medium,"[('pain', 2), ('weight gain', 1), ('weight loss', 1)]",1.3064,17.5343375,0.0738177623990772,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']"
Aldara,-0.23680625,7.5,16,34.6875,154.694375,0.0169676108845865,7.5,-0.0139297794117647,555.0,high,"[('pain', 5), ('headache', 3), ('fatigue', 2)]",-3.7889,-8.214216796875,0.4483362521891418,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']"
Aldomet,0.9297,3.0,1,24.0,145.97,0.0163563496798814,3.0,0.46485,24.0,low,"[('dizziness', 1)]",0.9297,22.3128,0.04,[],[]
