drugName,avg_sentiment,avg_rating,review_count,avg_usefulness,demand,demand_scaled,effectiveness_score,sentiment_per_review,engagement_score,popularity,top_side_effects,sentiment_rating_proxy,sentiment_usefulness,rating_variation_proxy,insights,actions,performance_score,risk_score,opportunity_score,drug_category
Actonel,-0.2410166666666666,4.0,6,73.66666666666667,160.23166666666668,0.0173555735266062,4.0,-0.0344309523809523,442.0,medium,"[('diarrhea', 2), ('pain', 2), ('vomiting', 1)]",-1.4460999999999995,-17.754894444444442,0.0803571428571428,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']",1.1069820258731338,0.6916381200630978,0.37384384576699947,High Performer
Actonel with Calcium,-0.9724,3.0,1,8.0,-48.24000000000001,0.0027492960438575,3.0,-0.4862,8.0,low,"[('pain', 1)]",-0.9724,-7.7792,0.1111111111111111,['Negative patient sentiment detected'],['Investigate patient complaints'],0.510019786383549,0.9939613972034987,0.015500356027418227,High Risk
Actos,0.04185,4.583333333333333,12,43.75,169.685,0.0180179081834513,4.583333333333333,0.0032192307692307,525.0,medium,"[('pain', 3), ('weight gain', 3), ('headache', 2)]",0.5022,1.8309375,0.2681564245810056,['Multiple side effects reported'],['Review drug safety profile'],1.3953286183148315,0.5222117664419851,0.5149439694752804,High Performer
Acyclovir,-0.1028328125,8.359375,64,25.9375,404.59171875,0.0344763208372468,8.359375,-0.0015820432692307,1660.0,high,"[('pain', 17), ('fever', 3), ('nausea', 3)]",-6.5813,-2.6672260742187497,2.3758700696055683,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']",2.4752359666370656,0.5830142483265517,0.43432260768822367,High Performer
Acyclovir / hydrocortisone,0.8929,10.0,1,1.0,124.29,0.0148373706220111,10.0,0.44645,1.0,low,[],0.8929,0.8929,0.5,[],[],3.3597885727692516,0.054612832610197296,0.9420690453845808,High Performer
Aczone,0.3185186046511628,7.523255813953488,86,15.546511627906977,524.9448837209302,0.0429086980115667,7.523255813953488,0.0036611333867949,1337.0,high,"[('pain', 6)]",27.3926,4.951853190914007,5.1974701335207305,['High market demand'],['Increase production and distribution'],2.3954860914830447,0.36472469605369107,0.6407561265980258,High Performer
Adalimumab,0.0282957746478873,7.262910798122066,213,34.48356807511737,1161.7967136150237,0.0875288360454933,7.262910798122066,0.0001322232460181,7344.999999999999,high,"[('pain', 103), ('headache', 12), ('fever', 10)]",6.026999999999995,0.9757392713086018,6.002778512834084,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']",2.2147620473633127,0.5414063371888668,0.47319705721138006,High Performer
Adapalene,0.1284684210526316,7.481203007518797,133,19.804511278195488,761.4558646616541,0.0594795110653181,7.481203007518797,0.0009587195600942,2634.0,high,"[('pain', 14), ('rash', 7), ('fever', 1)]",17.0863,2.544254293628809,6.392844235634262,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']",2.3118520775061753,0.4688014847908798,0.5373945324771771,High Performer
Adapalene / benzoyl peroxide,0.268963321799308,7.581314878892734,289,10.97923875432526,1523.854809688581,0.1128959331704076,7.581314878892734,0.0009274597303424,3173.0000000000005,high,"[('pain', 37), ('rash', 5), ('weight gain', 1)]",77.7304,2.9530125261910185,24.12507221259387,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']",2.414207350976652,0.40662838809265756,0.5807690632511395,High Performer
Adcirca,-0.0147,6.0,2,6.0,22.53,0.007707697700937,6.0,-0.0049,12.0,low,"[('headache', 1), ('dizziness', 1)]",-0.0294,-0.0882,0.2857142857142857,['Negative patient sentiment detected'],['Investigate patient complaints'],1.7945964803643994,0.5133034164165668,0.49185586605933385,High Performer
Adderall,0.25805,8.446153846153846,130,49.53076923076923,796.8665384615384,0.061960510692952,8.446153846153846,0.0019698473282442,6439.0,high,"[('anxiety', 12), ('dry mouth', 6), ('pain', 5)]",33.5465,12.781415,2.572689907139595,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']",2.6539188506337283,0.4321391907426551,0.6009371720207084,High Performer
Adderall XR,0.1190461538461538,8.102564102564102,78,32.0,509.9046153846154,0.0418549225213632,8.102564102564102,0.0015069133398247,2496.0,high,"[('anxiety', 14), ('insomnia', 8), ('headache', 7)]",9.285599999999995,3.8094769230769217,2.363636363636364,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']",2.4891715155188567,0.4793587279163329,0.5415500382378025,High Performer
Addyi,-0.54105,1.0,2,8.5,-18.105000000000004,0.0048606629215753,1.0,-0.18035,17.0,low,[],-1.0821,-4.598925,0.2105263157894736,['Negative patient sentiment detected'],['Investigate patient complaints'],0.08319710266322872,0.7788707609141745,0.23011316222795208,High Risk
Adempas,-0.5482,1.0,1,0.0,-17.82,0.0048806310503342,1.0,-0.2741,0.0,low,[],-0.5482,-0.0,1.0,['Negative patient sentiment detected'],['Investigate patient complaints'],0.08034313004466918,0.7742058948111543,0.22652811659221794,High Risk
Adenosine,0.04435,7.25,4,3.75,76.935,0.0115195083855973,7.25,0.00887,15.0,medium,"[('headache', 1), ('pain', 1)]",0.1774,0.1663125,0.8421052631578947,[],[],2.194367075758326,0.4818370959910285,0.5194632070694563,High Performer
Adipex-P,0.2665694323144105,9.139737991266376,229,58.22707423580786,1337.111091703057,0.0998119942032094,9.139737991266376,0.0011589975318017,13334.0,high,"[('dry mouth', 71), ('weight loss', 29), ('headache', 19)]",61.0444,15.521558124368338,3.8664749686647495,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']",2.8768273407547458,0.44668488386104976,0.5861544320754236,High Performer
Adoxa,0.2055333333333333,8.666666666666666,3,21.666666666666668,93.88666666666666,0.0127072033423623,8.666666666666666,0.0513833333333333,65.0,medium,[],0.6165999999999998,4.453222222222221,0.1323529411764706,[],[],2.684198914919911,0.41828467007939574,0.5994573640223698,High Performer
Advair Diskus,-0.1033575,8.125,40,24.25,239.16425,0.0228858752363358,8.125,-0.0025209146341463,970.0,high,"[('headache', 4), ('pain', 2), ('nausea', 1)]",-4.1343000000000005,-2.506419375,1.5841584158415842,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']",2.401215014602369,0.5791202840729643,0.43989122566271815,High Performer
Advair HFA,0.2429,9.0,2,5.5,62.29,0.0104934268218284,9.0,0.0809666666666666,11.0,low,[],0.4858,1.33595,0.3076923076923077,[],[],2.798477352947113,0.38402494751704536,0.6192544117548117,High Performer
Advil,-0.1599,9.8,5,12.0,66.01,0.0107540634498393,9.8,-0.0266499999999999,60.0,medium,"[('pain', 4), ('headache', 2)]",-0.7994999999999999,-1.9188,0.3846153846153846,['Negative patient sentiment detected'],['Investigate patient complaints'],2.8774360261364413,0.591962727644288,0.41772328977259787,High Performer
Advil Cold and Sinus,0.1025142857142857,8.0,7,9.0,91.25142857142856,0.0125225690490427,8.0,0.0128142857142857,63.0,medium,"[('headache', 3), ('pain', 3)]",0.7175999999999999,0.9226285714285712,0.7,[],[],2.4429355639944452,0.4580965610123245,0.5480407266759248,High Performer
Advil Cold and Sinus Liqui-Gels,0.9165,10.0,1,0.0,123.65,0.0147925299118156,10.0,0.45825,0.0,low,[],0.9165,0.0,1.0,[],[],3.369215037596894,0.04185589481115426,0.9538916040051768,High Performer
Advil Liqui-Gels,-0.201725,7.25,4,25.75,57.3275,0.0101457361587896,7.25,-0.040345,103.0,medium,"[('pain', 3), ('headache', 1)]",-0.8069,-5.19441875,0.1495327102803738,['Negative patient sentiment detected'],['Investigate patient complaints'],2.0955224024895744,0.6259272275699759,0.3971168291840418,High Performer
